customer_id,acquisition_date,acquisition_campaign_id,acquisition_channel,acquisition_platform,region,country,city,age_group,gender,customer_segment,primary_product_interest,first_purchase_date,last_purchase_date,customer_status,churn_date,marketing_consent,loyalty_member,source_system,source_file_name,batch_id,ingestion_timestamp
CUST0017174,2025-09-24,CMP0048,Google Search,Google Ads,Europe,Germany,Berlin,25-34,Male,At-Risk Customer,Unknown,2025-09-24,2025-09-24,At Risk,,False,False,CRM Export,crm_customers_202509.csv,BATCH-CRM-202509-02,2025-09-25 04:00:00
CUST0028361,2025-08-16,CMP0069,Apple Search Ads,Apple Search Ads,Latin America,Mexico,Mexico City,55-64,Male,Service Subscriber,Apple TV+,2025-08-16,2026-05-29,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-02,2025-08-17 05:25:00
CUST0018991,2025-10-17,CMP0081,Google Search,Google Ads,North America,Canada,Toronto,45-54,Male,New Customer,Accessories,2025-10-17,2026-04-27,Active,,False,True,CRM Export,crm_customers_202510.csv,BATCH-CRM-202510-01,2025-10-18 01:47:00
CUST0001949,2025-07-04,CMP0091,Facebook,Meta Ads Manager,Latin America,Brazil,Rio de Janeiro,55-64,Male,Loyal Customer,Accessories,2025-07-04,2026-02-16,Inactive,,True,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-02,2025-07-05 02:53:00
CUST0010284,2025-11-19,CMP0098,Google Display,Google Ads,Asia Pacific,Australia,Brisbane,45-54,Female,Service Subscriber,Apple Arcade,2025-11-19,2026-05-19,Active,,True,True,CRM Export,crm_customers_202511.csv,BATCH-CRM-202511-03,2025-11-20 05:35:00
CUST0000320,2025-06-05,CMP0092,Instagram,Meta Ads Manager,Middle East and Africa,United Arab Emirates,Abu Dhabi,25-34,Male,Service Subscriber,Unknown,2025-06-05,2026-05-15,Active,,True,False,CRM Export,crm_customers_202506.csv,BATCH-CRM-202506-02,2025-06-06 01:53:00
CUST0021419,2025-07-10,CMP0023,LinkedIn,LinkedIn Campaign Manager,North America,United States,Chicago,25-34,Male,Occasional Buyer,iPhone,2025-07-10,2025-07-10,Active,,True,True,CRM Export,crm_customers_202507.csv,BATCH-CRM-202507-02,2025-07-11 02:53:00
CUST0025468,2024-10-19,CMP0008,Organic Social,Internal Email Platform,North America,United States,Chicago,45-54,Male,Hardware Enthusiast,Mac,2024-10-19,2025-12-18,Active,,True,True,CRM Export,crm_customers_202410.csv,BATCH-CRM-202410-01,2024-10-20 03:36:00
CUST0000150,2025-12-07,CMP0052,LinkedIn,LinkedIn Campaign Manager,Europe,Spain,Madrid,45-54,Female,High-Value Customer,iPad,2025-12-07,2026-05-09,Active,,True,False,CRM Export,crm_customers_202512.csv,BATCH-CRM-202512-03,2025-12-08 01:59:00
CUST0026746,2025-08-25,CMP0024,Email Marketing,Internal Email Platform,Asia Pacific,India,Mumbai,45-54,Male,Loyal Customer,Mac,2025-08-25,2026-04-29,Active,,True,False,CRM Export,crm_customers_202508.csv,BATCH-CRM-202508-01,2025-08-26 03:05:00
