report_start_date,report_end_date,scope,channel,total_marketing_cost_usd,ad_spend_usd,new_customers,impressions,clicks,conversions,cac_usd,ctr_pct,cpc_usd,cpm_usd,conversion_rate_pct,cpa_usd
2024-07-04,2026-06-30,Overall,All Channels,7116394.51,6096317.9,29700,720393733,16586235,46121,239.61,2.3,0.37,8.46,0.28,132.18
2024-07-04,2026-06-30,Channel,YouTube,776657.5,664854.25,1143,66456397,1121184,1478,679.49,1.69,0.59,10.0,0.13,449.83
2024-07-04,2026-06-30,Channel,TikTok,762347.29,653331.52,1380,90134602,1916174,2731,552.43,2.13,0.34,7.25,0.14,239.23
2024-07-04,2026-06-30,Channel,Google Display,699202.43,598682.63,1699,95757909,1197836,3313,411.54,1.25,0.5,6.25,0.28,180.71
2024-07-04,2026-06-30,Channel,Google Search,680703.22,583458.3,3008,31399456,1570459,4469,226.3,5.0,0.37,18.58,0.28,130.56
2024-07-04,2026-06-30,Channel,Influencer Marketing,678617.64,581799.19,1626,49695181,1143187,2185,417.35,2.3,0.51,11.71,0.19,266.27
2024-07-04,2026-06-30,Channel,Apple Search Ads,635027.86,543799.63,1047,25365855,1430412,1844,606.52,5.64,0.38,21.44,0.13,294.9
2024-07-04,2026-06-30,Channel,Facebook,563358.11,482953.78,3699,60053514,997699,5169,152.3,1.66,0.48,8.04,0.52,93.43
2024-07-04,2026-06-30,Channel,LinkedIn,557703.3,477490.63,2672,22289664,277509,3210,208.72,1.25,1.72,21.42,1.16,148.75
2024-07-04,2026-06-30,Channel,Instagram,519760.92,445476.89,3270,51555656,1096605,5082,158.95,2.13,0.41,8.64,0.46,87.66
2024-07-04,2026-06-30,Channel,Retail Promotion,414165.81,354394.24,1327,23054709,326485,2751,312.11,1.42,1.09,15.37,0.84,128.82
2024-07-04,2026-06-30,Channel,X,335833.37,287649.56,2720,46492244,709116,4302,123.47,1.53,0.41,6.19,0.61,66.86
2024-07-04,2026-06-30,Channel,Email Marketing,252018.94,215966.22,1513,84043932,2778864,2365,166.57,3.31,0.08,2.57,0.09,91.32
2024-07-04,2026-06-30,Channel,Affiliate Marketing,154704.66,132587.22,1669,15799762,425130,3132,92.69,2.69,0.31,8.39,0.74,42.33
2024-07-04,2026-06-30,Channel,Organic Social,86293.46,73873.84,2927,58294852,1595575,4090,29.48,2.74,0.05,1.27,0.26,18.06
